HomeCondition,BuildMaterialQual,YrRD,Remd,TLA,YrBlt,GarCap,Bedrm,TotBaseArea,BasetMinFinArea,BaseFinArea,FirePlaces,Fixtures,PoolArea,TotAcres,SaleDate,Price
4,4,2012,0,2949,2012,3,2,2679,0,2300,2,21,392,0.39,2020.50,681818.1818
4,4,1997,0,3189,1997,3,4,2225,0,1500,1,18,392,0.37,2020.79,506666.6667
4,4,1997,0,3189,1997,3,4,2225,0,1500,1,18,392,0.37,2016.56,472222.2222
4,3,2018,0,1636,2018,3,3,1636,0,1200,1,12,392,0.2,2019.50,331000
4,3,2004,0,1744,2004,3,4,704,0,700,1,12,390,0.2,2016.75,247272.7273
4,3,1977,0,1570,1977,2,1,1550,0,1250,2,14,384,0.26,2018.39,195000
4,3,2017,0,1736,2017,3,2,1736,0,0,1,13,364,0.22,2018.51,343333.3333
4,4,2010,0,1716,2010,3,1,1714,0,1350,1,14,336,0.32,2018.77,515000
4,3,1978,0,1767,1978,2,3,1011,0,700,1,12,324,0.21,2016.53,187500
4,3,1978,0,1767,1978,2,3,1011,0,700,1,12,324,0.21,2021.27,266666.6667
2,3,1954,0,1979,1954,2,3,2429,0,0,2,11,320,0.23,2020.83,162500
4,4,1980,0,2558,1980,2,3,1322,0,1100,2,15,312,0.25,2019.33,338000
4,3,2015,0,1850,2015,3,3,1845,0,1550,1,14,312,0.21,2016.44,397513.6364
4,4,2005,0,2495,2005,3,2,2460,0,2100,1,17,300,0.31,2018.50,675000
4,4,2005,0,2495,2005,3,2,2460,0,2100,1,17,300,0.31,2019.55,685000
4,5,2001,0,4528,2001,3,4,3293,0,2150,4,21,288,0.53,2018.36,1025000
5,4,2006,0,3502,2006,3,2,2597,0,1650,2,22,280,0.61,2016.16,600000
3,3,1988,0,1781,1988,2,3,936,0,400,1,10,280,0.23,2021.64,291000
5,4,2010,5,3161,1956,2,4,672,100,0,1,15,216,0.53,2019.94,570000
4,5,2011,0,4228,2011,3,4,3929,0,2900,3,21,100,0.67,2021.20,880000
3,3,2010,4,1710,1989,2,2,1588,0,1150,1,13,98,0.28,2020.99,290000
4,3,2008,0,1666,2008,3,2,1666,0,1550,0,13,0,0.23,2018.96,310320
4,3,2008,0,1812,2008,3,2,1812,0,1150,1,14,0,0.23,2019.88,399200
4,3,2010,0,1629,2010,3,3,1629,0,1050,1,13,0,0.21,2021.17,344000
4,3,2010,0,1629,2010,3,3,1629,0,1050,1,13,0,0.21,2021.17,344000
4,3,2016,0,1888,2016,3,2,1888,0,1000,1,15,0,0.23,2017.42,382320
4,3,2010,0,1942,2010,3,3,1940,0,1250,1,15,0,0.23,2016.47,416000
4,3,2011,0,1661,2011,3,2,1661,0,1150,1,12,0,0.2,2018.04,294400
4,3,2010,0,1657,2010,3,2,1657,0,1300,0,14,0,0.27,2019.45,328000
4,3,2011,0,1589,2011,3,2,1569,0,900,1,14,0,0.22,2016.16,290000
4,4,2010,0,2323,2010,3,3,2303,0,1700,2,19,0,0.21,2017.68,440000
4,4,2010,0,2323,2010,3,3,2303,0,1700,2,19,0,0.21,2021.16,476000
4,3,2008,0,2561,2008,3,5,1624,0,1000,1,18,0,0.23,2018.69,404000
3,2,1920,0,788,1920,1,1,200,0,0,0,5,0,1.23,2018.39,92307.69231
4,3,1961,0,1549,1961,3,3,1305,650,0,2,8,0,2.27,2018.63,205769.2308
3,3,1975,0,1200,1975,2,3,1200,600,0,0,9,0,0.48,2020.77,145192.3077
1,2,1900,0,1572,1900,2,3,864,0,0,0,8,0,0.2,2017.46,90444.44444
1,2,1900,0,1572,1900,2,3,864,0,0,0,8,0,0.2,2019.44,110555.5556
4,3,1924,0,864,1924,0,2,864,0,0,1,5,0,0.2,2019.68,130000
4,2,1985,0,1142,1985,2,2,1024,0,900,0,8,0,0.2,2017.78,181111.1111
5,3,1928,0,1573,1928,3,3,1176,0,0,0,10,0,0.23,2019.21,198888.8889
5,3,2015,0,1805,2015,3,3,1805,0,1500,1,13,0,0.38,2022.54,495192.3077
5,2,2016,0,1664,2016,0,3,832,0,700,0,10,0,0.18,2020.67,240000
5,2,2016,0,1664,2016,0,3,832,0,700,0,10,0,0.18,2017.93,204600
4,3,1960,0,1336,1960,2,2,1312,0,1100,0,9,0,0.41,2019.39,252222.2222
5,3,1930,0,2768,1930,0,4,1320,0,0,0,11,0,2.69,2021.53,320512.8205
4,3,1953,0,1120,1953,2,2,1120,140,0,0,6,0,0.25,2020.37,145500
4,2,1955,0,912,1955,1,2,720,400,0,0,8,0,0.23,2019.06,153333.3333
4,3,1956,0,1009,1956,1,2,985,750,0,0,5,0,0.49,2020.68,128205.1282
5,3,2005,5,1959,1960,3,3,1560,500,0,2,7,0,1.69,2018.49,423557.6923
4,3,1957,0,1120,1957,1,3,1120,400,0,0,8,0,1.71,2022.15,305673.0769
4,3,1957,0,1120,1957,1,3,1120,400,0,0,8,0,1.71,2018.37,142307.6923
5,3,1960,0,2307,1960,2,3,2307,0,0,1,10,0,1.71,2020.90,346153.8462
4,3,1964,0,1252,1964,4,3,1252,600,0,0,8,0,0.64,2022.53,288461.5385
4,3,1964,0,1252,1964,4,3,1252,600,0,0,8,0,0.64,2022.53,288461.5385
